LastName,FirstName,PhoneNumber,Age,Income,DebtAmount,CreditScore,LoanDuration,MissedPayments,Repay
Lee,Jason,(555) 313-8371,30,6270,16273,610,36,0,1
White,Linda,(555) 669-6562,46,3136,27206,728,12,0,1
Hernandez,Mary,(555) 242-9629,29,5143,29672,621,24,4,0
Garcia,Linda,(555) 988-3346,62,7258,25852,730,48,5,0
Jones,Margaret,(555) 901-9488,28,7566,16607,664,24,0,1
Johnson,Jane,(555) 371-6256,58,4068,24875,739,36,2,1
Moore,John,(555) 915-9258,50,4632,20940,736,36,4,0
White,Karen,(555) 726-3453,35,3205,12068,704,24,1,1
Davis,Mary,(555) 184-2239,51,3280,29481,610,36,0,1
Moore,Margaret,(555) 730-7553,58,6637,26100,684,24,6,0
Hernandez,Steven,(555) 388-9759,46,3899,19191,637,36,0,1
Brown,Jennifer,(555) 819-8639,62,5808,17110,725,48,1,1
Smith,Jason,(555) 988-8697,60,7225,26348,673,36,0,1
Rodriguez,David,(555) 265-1228,28,3810,15280,698,48,1,1
Davis,Nancy,(555) 325-9542,48,7167,26617,710,24,2,0
Wilson,Linda,(555) 790-3950,62,6650,17377,624,36,6,1
Miller,Robert,(555) 640-3000,43,6944,19591,740,12,5,1
Lewis,Paul,(555) 652-9162,41,5403,27259,648,36,0,0
Walker,Patricia,(555) 329-4474,54,3508,13935,709,12,3,0
Taylor,Dorothy,(555) 951-5388,61,3414,23737,671,12,6,1
Lee,Jane,(555) 271-3242,38,4709,15420,672,12,5,1
Miller,Margaret,(555) 863-3019,25,3938,25082,741,60,0,0
Anderson,Paul,(555) 492-2462,25,5142,13655,720,12,0,0
Walker,Charles,(555) 857-1409,39,3952,15200,663,36,4,1
Moore,Christopher,(555) 843-9816,32,5797,23039,650,12,2,1
Young,Linda,(555) 805-5279,28,6360,17141,677,12,1,1
Rodriguez,John,(555) 629-6804,44,7473,21141,600,24,4,1
Martinez,Daniel,(555) 585-3236,35,7665,17488,606,36,6,1
Johnson,Robert,(555) 538-3829,49,6426,14748,696,60,4,0
Martinez,Barbara,(555) 740-6938,32,6365,29132,638,48,1,0
Martinez,Linda,(555) 883-6648,60,6722,15365,722,24,4,1
Brown,James,(555) 333-1558,29,6909,27224,678,24,0,0
Smith,Margaret,(555) 703-1416,48,7350,24476,661,36,6,0
Jackson,Jane,(555) 204-7466,52,3152,12381,654,24,1,0
Davis,Michael,(555) 842-6392,26,3592,20520,722,36,2,0
Thomas,David,(555) 480-4710,35,3047,23999,713,48,0,0
Miller,Dorothy,(555) 268-7261,40,7901,15212,742,12,1,0
Martinez,Steven,(555) 416-6325,33,7007,14259,646,48,4,0
Williams,Donald,(555) 117-7320,34,3227,27771,731,12,3,0
Williams,Nancy,(555) 932-3535,62,3898,21326,730,12,2,1
Williams,Mary,(555) 902-6759,44,6850,18114,648,48,4,0
Doe,Mark,(555) 523-6879,35,6524,15487,638,24,0,0
Taylor,Nancy,(555) 132-3518,36,4449,15428,610,48,3,0
Hall,Michael,(555) 271-8305,61,6092,15457,721,12,1,1
Walker,Jennifer,(555) 758-7960,58,5761,20045,650,12,5,0
Williams,Jason,(555) 803-3851,50,7498,13603,676,12,0,0
Thomas,Jennifer,(555) 681-8650,51,4036,22925,733,24,0,1
Lee,Linda,(555) 366-8353,32,6586,25527,714,36,3,0
Davis,Joseph,(555) 527-1105,30,4201,22921,603,24,3,0
Jones,Joseph,(555) 588-3873,39,3238,16710,742,12,1,0
Perez,Donald,(555) 830-5784,60,5227,27604,657,12,3,0
Allen,Dorothy,(555) 202-8852,36,4868,23965,637,12,1,0
Davis,Margaret,(555) 897-1036,59,6053,25390,707,60,6,0
White,Mary,(555) 504-1485,29,6336,19738,661,48,2,1
Jones,James,(555) 686-5633,55,6979,12709,745,12,2,0
Young,Michael,(555) 247-3629,43,4193,24712,644,36,4,1
Rodriguez,Mary,(555) 441-7930,49,4834,15106,690,12,5,1
Jackson,Susan,(555) 631-5652,54,6575,23283,698,12,1,1
Taylor,Donald,(555) 936-8686,41,6707,23866,602,24,0,1
Smith,Dorothy,(555) 760-6349,36,5284,16074,685,48,4,0
Perez,Donald,(555) 732-9208,41,3968,17302,657,24,1,1
Lee,Donald,(555) 144-3960,32,7674,12813,727,60,5,1
Walker,Charles,(555) 240-8414,62,6096,21892,676,48,4,1
Miller,Lisa,(555) 388-2506,63,7564,12018,636,24,4,0
Jones,Barbara,(555) 742-9476,34,7412,24248,600,48,4,1
Brown,Steven,(555) 812-5493,56,5642,14827,712,48,6,1
Perez,Linda,(555) 863-6546,47,5428,19372,716,12,2,1
Jones,Mark,(555) 916-8104,56,5658,29824,621,60,5,0
Miller,Daniel,(555) 661-3915,62,4884,22086,677,60,2,1
Garcia,Steven,(555) 100-1909,60,3049,22866,651,24,1,0
Young,Patricia,(555) 807-6152,28,7832,20162,731,60,2,1
Garcia,Nancy,(555) 219-9431,65,7939,23346,710,36,5,1
Walker,Lisa,(555) 807-3465,27,3414,26860,731,48,1,1
Moore,Jane,(555) 344-4741,63,5430,21177,716,48,6,1
Young,Patricia,(555) 856-2295,25,5602,21670,717,48,2,0
Rodriguez,Linda,(555) 549-2183,49,5213,15448,619,48,0,1
Lewis,Steven,(555) 569-6260,33,3959,21828,650,48,0,1
Jackson,Christopher,(555) 729-5965,51,5227,20186,693,60,3,0
Johnson,Mark,(555) 233-9623,42,7591,28853,732,48,5,0
Martinez,Dorothy,(555) 505-5671,46,6686,23291,735,12,6,0
Taylor,John,(555) 269-1832,36,4508,18464,698,24,0,0
Allen,Lisa,(555) 858-5669,30,4046,15963,705,48,0,0
Perez,Margaret,(555) 178-3362,36,5841,19078,735,36,4,1
Thomas,Jane,(555) 795-5108,52,6915,17024,612,48,5,0
Davis,Karen,(555) 235-7744,34,3156,23872,621,36,4,1
Jackson,Mary,(555) 489-3728,41,5442,25636,641,36,1,1
Moore,Mary,(555) 260-9187,49,4435,14894,721,12,2,0
Davis,Sarah,(555) 893-7355,59,6372,23594,661,24,6,1
Williams,Nancy,(555) 684-5860,47,4206,24138,666,48,3,0
Rodriguez,Paul,(555) 821-6679,53,6707,28713,695,48,5,1
Lewis,Christopher,(555) 103-7871,26,4121,14610,635,24,0,0
Lee,Paul,(555) 427-2598,34,6970,19237,717,48,5,1
Clark,Daniel,(555) 415-6317,29,6865,15168,614,12,1,0
Hall,Mary,(555) 417-3610,38,6524,26639,698,12,2,1
Taylor,Linda,(555) 646-5791,34,4478,29249,651,12,6,0
Clark,Daniel,(555) 719-7480,29,3636,18908,670,24,5,0
Allen,Paul,(555) 854-5138,49,6547,27680,674,36,0,1
Taylor,Linda,(555) 286-3056,60,4321,29434,734,12,3,1
Perez,Jason,(555) 649-4276,56,4804,28560,698,48,1,0
Smith,Joseph,(555) 836-8026,45,3653,12195,671,36,4,1
Anderson,Barbara,(555) 714-1041,32,5333,20464,626,60,6,1
Martinez,Margaret,(555) 724-2761,42,5468,21876,632,12,3,0
Lee,Nancy,(555) 841-1062,37,7681,28185,624,36,2,0
Martinez,James,(555) 283-8493,45,6345,22003,670,60,5,0
Jones,Karen,(555) 809-2167,49,3405,20174,701,12,5,0
Smith,Susan,(555) 187-4646,50,3711,29345,646,36,5,0
Rodriguez,Linda,(555) 568-1222,54,7932,22720,731,24,0,0
Allen,Linda,(555) 522-8841,41,4982,20784,621,24,0,0
Brown,Barbara,(555) 538-3126,60,7526,12046,626,12,0,1
Garcia,Dorothy,(555) 309-6149,35,4240,24436,645,36,2,1
Walker,Mary,(555) 125-7550,25,3298,29514,722,24,4,1
Clark,Robert,(555) 502-2980,36,4516,18186,744,36,4,0
Anderson,Lisa,(555) 436-2257,48,3648,18299,712,48,2,0
Martinez,Steven,(555) 798-4289,63,5938,21116,621,48,0,0
Martinez,Robert,(555) 371-3639,34,7556,29101,683,60,3,1
Rodriguez,Michael,(555) 282-6911,46,6427,27723,738,24,0,0
Lewis,James,(555) 256-2781,51,3455,13072,695,12,4,0
Garcia,Michael,(555) 330-1501,37,7437,18015,644,24,3,0
Martinez,Mary,(555) 244-5312,34,7889,28448,608,48,2,0
Rodriguez,Steven,(555) 510-1639,41,4065,13024,719,24,5,0
Walker,David,(555) 747-7878,32,6028,20518,603,24,3,1
Jackson,Lisa,(555) 724-6297,35,7811,18562,617,36,4,0
Hall,Daniel,(555) 977-1070,55,3551,23438,628,12,3,1
Lee,Linda,(555) 890-4195,25,5492,28476,620,48,2,1
Jones,Patricia,(555) 499-8526,38,3175,21396,685,48,2,1
Walker,Susan,(555) 485-5064,61,6268,15927,641,12,4,0
Jackson,David,(555) 924-2853,26,7000,16134,704,36,4,1
Taylor,Karen,(555) 942-9664,60,3347,26881,707,24,2,1
Rodriguez,Christopher,(555) 952-8040,59,7557,26980,691,60,3,1
Jones,Mark,(555) 684-8432,63,3725,17344,710,60,6,0
Allen,Susan,(555) 255-2966,45,4026,13644,702,60,5,0
Perez,Barbara,(555) 633-7396,35,5058,23155,641,60,4,0
Hall,Dorothy,(555) 473-9618,65,3112,24539,717,12,0,0
Walker,John,(555) 951-5701,37,6164,18179,663,12,4,0
Miller,Nancy,(555) 633-4073,35,4748,23252,694,60,0,1
Martinez,Jason,(555) 700-5006,61,3059,24231,745,36,2,1
Anderson,Karen,(555) 947-4698,47,3730,21365,735,36,6,0
Brown,Barbara,(555) 725-3083,29,5729,14552,636,48,0,0
Rodriguez,Barbara,(555) 561-4780,34,5913,12826,660,24,1,0
Miller,Steven,(555) 390-5151,33,3146,13422,707,36,1,0
Hernandez,Linda,(555) 575-5257,63,6594,12699,728,48,3,0
Anderson,Jason,(555) 435-6908,29,7442,29992,685,12,3,0
